"ID","1885","Nuenen","painting","genre picture","peasant life","interior scene","1887","Paris","cityscape","street scene","1888","portrait","self-portrait","Arles","townscape","landscape (representation)","river landscape","1889","still life","Saint-Remy-de-Provence","1890","Auvers-sur-Oise","animal art","drawing","1884","1882","The Hague","1883","Drenthe","study","figure (representation)","heads","Antwerp","1886","cafe scene","seascape","coastal landscape","Nieuw Amsterdam","nude","Amsterdam","marine","1881","history (visual work)","religion","artists portrait","bathing scene","1871 - 1880","Brussels","Etten","sketch","Ramsgate","nature","flowers","Flenu","print","trial proof","allegory"
"s0106V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","https://vangoghmuseum.nl/en/collection?Place=Auvers-sur-Oise","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0149V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","https://vangoghmuseum.nl/en/collection?Place=Auvers-sur-Oise","https://vangoghmuseum.nl/en/collection?Genre=animal art","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0176V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","https://vangoghmuseum.nl/en/collection?Place=Saint-Rémy-de-Provence","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0195V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","https://vangoghmuseum.nl/en/collection?Place=Auvers-sur-Oise","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0171V1962","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","https://vangoghmuseum.nl/en/collection?Genre=genre picture","https://vangoghmuseum.nl/en/collection?Genre=peasant life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0222V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Arles","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1889","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0337V1962","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","https://vangoghmuseum.nl/en/collection?Genre=interior scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1889","localhost","https://vangoghmuseum.nl/en/collection?Place=Saint-Rémy-de-Provence","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0340V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","https://vangoghmuseum.nl/en/collection?Date=1889","localhost","https://vangoghmuseum.nl/en/collection?Place=Saint-Rémy-de-Provence","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0344V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1888","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Arles","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0364V1968","localhost","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0378V1962","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","https://vangoghmuseum.nl/en/collection?Genre=interior scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","https://vangoghmuseum.nl/en/collection?Date=1882","https://vangoghmuseum.nl/en/collection?Place=The Hague","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0386M1977","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=townscape","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1883","https://vangoghmuseum.nl/en/collection?Place=Drenthe","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0420V1962","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","https://vangoghmuseum.nl/en/collection?Genre=street scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0423V1962","localhost","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","https://vangoghmuseum.nl/en/collection?Genre=interior scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0446V1962","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=genre picture","https://vangoghmuseum.nl/en/collection?Genre=peasant life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=townscape","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","https://vangoghmuseum.nl/en/collection?Place=Auvers-sur-Oise","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d1172S2012","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","https://vangoghmuseum.nl/en/collection?Date=1882","https://vangoghmuseum.nl/en/collection?Place=The Hague","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0001V1962","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0002V1962","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=townscape","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0003V1962","localhost","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=street scene","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=townscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0004V1962r","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","https://vangoghmuseum.nl/en/collection?Genre=figure (representation)","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0004V1962v","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0006V1962","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","https://vangoghmuseum.nl/en/collection?Genre=figure (representation)","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0007V1962","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","https://vangoghmuseum.nl/en/collection?Genre=interior scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0008V1962","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0009V1962","localhost","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0010V1962","https://vangoghmuseum.nl/en/collection?Date=1885","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Antwerp","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0011V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1886","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0012V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1886","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
